name,address,Lat,Lng
駒込東,駒込1丁目22－1,35.7354832596,139.749726591
駒込二丁目,駒込2－10－8,35.7383008871,139.747492039
染井吉野桜記念,駒込2丁目2－1,35.7370184859,139.747092656
駒込,駒込2丁目3－23,35.7375748387,139.747252361
門と蔵のある広場,駒込3-12-8,35.7375308823,139.742244818
妙義,駒込3－16－11,35.7387465839,139.745227351
駒込四丁目,駒込4－7－25,35.7356848157,139.741315519
駒込西,駒込5丁目4－33,35.737672806,139.739564802
そめいよしの,駒込6－1－6,35.7378992562,139.740949242
駒込六丁目,駒込6－25－2,35.740256165,139.743278193
染井よしの桜の里,駒込6丁目3-1,35.7384405701,139.741752358
駒込七丁目,駒込7－14－3,35.7402344098,139.740052672
駒込七丁目第２,駒込7－7－4,35.7407978249,139.738372618
高松一丁目,高松1－6－5,35.7350080211,139.697599947
高松二丁目,高松2－33－11,35.7375264161,139.69930871
高松三丁目,高松3－5－6,35.7405948047,139.697935391
高田一丁目,高田1－23－33,35.7147001963,139.717163241
山吹の里,高田1丁目10－5,35.7136247794,139.718501001
高田第二,高田1丁目2－10,35.7131632429,139.720842488
高田,高田1丁目28－3,35.7151464448,139.715431798
高田二丁目中央,高田2－6－2,35.7152716207,139.712354086
高田三丁目,高田3－38－6,35.7159066619,139.710948914
高田第三,高田3丁目18－7,35.7153195162,139.70701351
雑司が谷一丁目,雑司が谷1－36一3,35.7209239004,139.721269864
雑司が谷二丁目四つ家,雑司が谷2－1－6,35.7174368606,139.717037145
雑司が谷,雑司が谷2丁目11－8,35.7188296028,139.716274689
雑司が谷みみずく,雑司が谷3丁目15－20,35.7219622569,139.713772619
上池袋一丁目,上池袋1－14－9,35.7358495406,139.720406003
上池袋一丁目ゆったり広場,上池袋1－29－11,35.7369994326,139.722313092
上池袋中央,上池袋1丁目28－7,35.7370187443,139.721485017
上池袋東,上池袋1丁目30－20,35.7362196356,139.722712718
上池袋二丁目,上池袋2－23－10,35.7362460414,139.717413331
上池袋,上池袋2丁目25－9,35.7361602229,139.716284159
上池袋さくら,上池袋2丁目45－15,35.7385504532,139.716985452
上池袋三丁目第３,上池袋3－13－12,35.7399641313,139.717182397
上池袋三丁目第２,上池袋3－27－5,35.7392316636,139.718762217
堀之内,上池袋3丁目7,35.7386062718,139.718739897
ひばりがや広場,上池袋4－31-29,35.742390609,139.718196034
上池袋四丁目第２,上池袋4－39－6,35.7430300456,139.718997242
上池袋四丁目,上池袋4－7－2,35.7398225725,139.722547423
西巣鴨,西巣鴨1丁目3－9,35.7364830642,139.725211961
西巣鴨二丁目,西巣鴨2－27－7,35.7401246976,139.727458
千川上水,西巣鴨2丁目39－5,35.7419063029,139.726235049
西巣鴨四丁目,西巣鴨4－18－2,35.7439831913,139.729930063
池袋西口,西池袋1丁目8－26,35.729895871,139.709167105
元池袋史跡,西池袋1丁目9－12,35.7289361456,139.708694367
上り屋敷,西池袋2丁目14－2,35.7263431096,139.705449667
西池袋,西池袋3丁目20－１,35.7306453881,139.705458262
西池袋第二,西池袋4丁目40－18,35.7275684403,139.696996318
谷端川南緑道,西池袋4丁目5－5,35.7267672899,139.699382023
谷端川第二親水,西池袋5丁目22－11,35.7310563273,139.699792144
千川彫刻,千川1丁目24－2,35.738219307,139.691130302
千川二丁目中央,千川2－11－17,35.741431928,139.692838257
千川二丁目,千川2－33－4,35.7413568844,139.690194346
千川二丁目第２,千川2－5－15,35.7404543919,139.691792987
千早第二,千早1丁目23－18,35.7323682964,139.696905218
千早フラワー,千早1丁目8－1,35.731263429,139.693738306
千早二丁目,千早2－35－15,35.7351438636,139.688857318
千早,千早2丁目31-10,35.7349982399,139.690162637
千早緑地,千早2丁目34－2,35.7341466384,139.688963591
千早三丁目,千早3－26－10,35.7344115764,139.686388949
小鳥がさえずる,千早3丁目14－19,35.7332420428,139.686664709
千早四丁目なかよし広場,千早4－10－14,35.7379731008,139.683732936
千早四丁目,千早4－31－13,35.7387347843,139.685006773
巣鴨一丁目,巣鴨1－2－8,35.7320773487,139.741566182
江戸橋,巣鴨1丁目37－1,35.7319566564,139.736679586
巣鴨四丁目折戸,巣鴨4－12－10,35.7379629182,139.73031153
巣鴨四丁目,巣鴨4－22－11,35.7370016402,139.733889188
巣鴨四丁目第３,巣鴨4－22－17,35.7365570699,139.734739897
巣鴨四丁目第２,巣鴨4－34－12,35.7389921435,139.730998418
朝日,巣鴨5－22－1,35.7412359876,139.732540064
巣鴨五丁目,巣鴨5－35－18,35.7399655944,139.734256974
池袋一丁目,池袋1－13－13,35.7367434355,139.713796956
池袋一丁目第２,池袋1－8－11,35.7364234071,139.711990997
池袋の森,池袋1丁目7－10,35.7349704259,139.711726221
池袋ふれあい,池袋2丁目74－1,35.7360739158,139.710439369
池袋三丁目,池袋3－22－13,35.7349655559,139.70402856
谷端川親水,池袋3丁目2－5,35.7333354073,139.700472633
池袋第二,池袋3丁目29－4,35.7358800603,139.705363658
御嶽北,池袋3丁目44－20,35.7372100962,139.706290735
池袋四丁目,池袋4－21－8,35.7383431552,139.708498939
池袋,池袋4丁目22－9,35.7379065391,139.708762191
池袋本町一丁目,池袋本町1－6－8,35.7376511991,139.713978012
池袋本町,池袋本町1丁目27－1,35.7395146625,139.713568928
池袋本町二丁目,池袋本町2－39－7,35.7442977405,139.709574809
池袋本町三丁目,池袋本町3－13－7,35.7432689192,139.710977234
池袋本町三丁目チビッ子,池袋本町3－7－15,35.7437225104,139.713154084
池袋本町三丁目第２,池袋本町3－9－3,35.7436251181,139.712741277
谷端川北緑道,池袋本町3丁目33－7,35.745021696,139.709782101
池袋本町四丁目,池袋本町4－22－12,35.7428870575,139.715366032
長崎二丁目中央,長崎2－25－11,35.7297726692,139.691506267
長崎二丁目,長崎2－27－18,35.7296525624,139.693092229
長崎二丁目第２,長崎2－8－1,35.727624871,139.692009172
長崎,長崎3丁目25－15,35.7311197608,139.688120625
長崎四丁目うめの木,長崎4－3－8,35.7292142118,139.685472162
長崎四丁目,長崎4－44－3,35.7316280346,139.686585869
長崎五丁目,長崎5－28－5,35.7339156055,139.683700191
長崎六丁目,長崎6－39－1,35.7370168725,139.681543003
長崎六丁目さつき,長崎6－4－8,35.7338655333,139.679099221
中池袋,東池袋1丁目16－1,35.7316604489,139.715158195
池袋駅前,東池袋1丁目50－23,35.7327850054,139.712995319
東池袋二丁目,東池袋2－26－1,35.7309579835,139.723315833
東池袋二丁目あじさい,東池袋2－35－14,35.7330073576,139.722396569
東池袋二丁目第３,東池袋2－58－7,35.7337846425,139.718571587
東池袋二丁目第２,東池袋2－60－7,35.7336467156,139.717608901
東池袋,東池袋3丁目14－1,35.7314881389,139.717555645
東池袋中央,東池袋3丁目1－6,35.7303074768,139.718754552
東池袋四丁目,東池袋4－18－11,35.7268982441,139.720243431
日出町,東池袋4丁目22－1,35.7278156444,139.718826103
日出町第二,東池袋4丁目4,35.7260828038,139.719297819
東池袋五丁目第２,東池袋5－21－7,35.7258154345,139.723850723
東池袋五丁目,東池袋5－41－14,35.7275674134,139.725525785
東池袋五丁目かしの実,東池袋5－6－15,35.7247289523,139.722202997
南大塚一丁目,南大塚1－12－11,35.727531372,139.734171229
南大塚二丁目ポケット,南大塚2－18－9,35.7264322141,139.732954449
南大塚二丁目,南大塚2－36－3,35.7288004485,139.730112192
南大塚,南大塚2丁目27－1,35.7278037135,139.731364804
南大塚からたち,南大塚2丁目5－1,35.7261081105,139.734129883
大塚台,南大塚3丁目27－1,35.7302543585,139.725842191
南池袋一丁目,南池袋1－4－3,35.7240638978,139.709475712
南池袋,南池袋2丁目21－1,35.7277706035,139.714794734
南池ふくろうひろば,南池袋3－17－2,35.7239182754,139.712795877
南池袋四丁目,南池袋4－12－16,35.724771356,139.719286975
雑司が谷中央,南池袋4－1－3,35.7206763365,139.717352986
南池袋みどり,南池袋4丁目7－9,35.7221098086,139.717349251
南池袋第二,南池袋4丁目8－5,35.7225113594,139.716935826
南長崎二丁目,南長崎2－2－21,35.7232837097,139.689991298
南長崎三丁目第２,南長崎3－40－13,35.7272978292,139.687301836
南長崎三丁目,南長崎3－4－15,35.7236355045,139.687928078
南長崎,南長崎3丁目37－2,35.7267345817,139.688378415
南長崎花咲,南長崎3丁目9－22,35.7247825004,139.686202721
南長崎四丁目,南長崎4－29－8,35.7259286508,139.685337858
南長崎中央,南長崎4丁目13－5,35.7241378776,139.683282442
南長崎六丁目,南長崎6－35－17,35.7319636616,139.679084654
南長崎はらっぱ,南長崎6丁目1－20,35.7285714354,139.680708435
巣鴨,北大塚1丁目12－10,35.7322398802,139.73261718
北大塚二丁目,北大塚2－34－2,35.7349864203,139.729775875
北大塚,北大塚3丁目12－15,35.7341371708,139.722940567
目白二丁目,目白2－15－7,35.7217232931,139.710458103
目白二丁目第２,目白2－5－10,35.7209595137,139.711993454
目白三丁目,目白3－15－17,35.7230443412,139.70630219
目白四丁目,目白4－11－15,35.7236094576,139.699216539
目白四丁目旭出,目白4－19－11,35.7246117136,139.702021381
目白の森,目白4丁目11－21,35.7231091415,139.699162111
目白五丁目,目白5－15－17,35.7239459871,139.697492171
要町一丁目,要町1－25－3,35.7347986786,139.695792796
千川,要町3－19－2,35.7382286159,139.686744543
要町三丁目,要町3－7－9,35.7370095963,139.687303423
千川親水,要町3丁目17－5,35.7372168902,139.68640479
宮仲公園,上池袋1丁目36－1,35.7360414387,139.724689316
椎名町公園,南長崎1丁目20－1,35.7261473109,139.693097438
